#{"t_start": 1655027203.6416228, "env_id": "gym_spaceship/Spaceship-v0"}
r,l,t
46,108,203.402998
98,252,203.509498
-28,108,203.5595
112,252,203.656999
108,360,203.811999
2,108,203.854499
26,180,205.575577
14,144,205.639501
29,145,205.706999
-1,71,205.736
-1,71,205.768498
40,180,205.841999
64,252,205.967501
26,252,206.076499
48,180,206.148999
-21,71,206.176999
22,144,206.233998
19,181,206.312499
-2,72,206.3455
44,108,206.388
-6,108,207.986501
42,144,208.049501
34,180,208.122001
-3,71,208.149
52,180,208.2205
-41,71,208.251999
-10,144,208.316
13,71,208.348001
-7,71,208.380498
64,252,208.489
34,144,208.556
-9,71,208.586002
20,108,208.631999
-19,71,208.662501
-20,72,208.69566
5,71,208.728499
62,218,208.828998
37,217,210.479144
5,73,210.512502
4,108,210.558499
-13,71,210.588002
1,71,210.617498
-1,71,210.647999
48,180,210.722498
-1,71,210.7525
32,144,210.813999
32,144,210.872998
64,184,210.946498
40,144,211.005
46,252,211.112499
-26,108,211.158998
-4,112,211.206659
30,216,212.835499
96,362,212.988501
57,183,213.066002
34,108,213.108999
4,180,213.186
52,182,213.269998
38,252,213.381499
38,144,213.447999
-7,71,213.477452
2,72,213.5115
7,71,213.545
30,108,213.592499
26,108,213.662999
41,145,213.731501
32,108,215.3355
40,144,215.393499
-6,108,215.435499
36,108,215.4845
18,144,215.544
104,360,215.6995
38,108,215.7475
71,217,215.837498
54,180,215.910999
30,108,215.958998
62,252,216.0855
-5,71,216.125999
-2,108,216.184551
20,108,217.787
2,180,217.868999
20,144,217.934563
23,109,217.981999
52,180,218.061498
2,108,218.1045
-2,74,218.134001
78,288,218.257499
-44,108,218.300998
