#{"t_start": 1654704754.9331267, "env_id": "gym_spaceship/Spaceship-v0"}
r,l,t
136,72,108.918499
1,71,109.043
1,71,109.18
108,144,109.425003
58,72,109.569
147,71,109.6855
-1,71,109.805499
130,72,109.943
1,71,110.077504
-11,71,110.218644
155,71,110.329499
-8,144,110.573
150,72,110.690999
-1,71,110.808
1,71,110.921
0,72,111.035537
151,71,111.16
143,71,111.2705
1,71,111.372704
12,144,111.5855
-1,71,111.701
-1,71,111.8335
155,71,111.9505
155,71,112.0645
1,71,112.211002
-9,71,112.323131
139,71,112.439498
10,108,112.648999
-55,71,112.769499
10,108,112.953999
163,71,113.082383
155,71,113.2045
35,109,113.378
3,71,113.483503
1,71,113.588999
159,71,113.699499
74,108,113.888999
-1,71,113.991999
1,71,114.094002
-23,73,114.225501
1,71,114.334999
1,71,114.448
1,71,114.570501
-7,73,114.688999
153,71,114.792
1,71,114.901503
1,71,115.008502
1,71,115.123501
151,71,115.233501
-14,108,115.394181
-11,71,115.502
154,72,115.611499
-1,71,115.7165
-12,108,115.876
-15,71,115.978
-57,71,116.096999
111,71,116.235
119,71,116.382499
-1,71,116.492041
135,71,116.623999
155,71,116.733998
119,71,116.837002
-32,72,116.935998
-1,71,117.040714
139,71,117.153
139,71,117.256001
-1,71,117.357501
2,108,117.525501
155,71,117.6285
155,71,117.731001
1,71,117.853001
14,144,118.1135
155,71,118.223498
-1,71,118.335007
-1,71,118.478502
0,108,118.648
-1,71,118.812499
46,108,118.995051
1,71,119.097999
-2,74,119.213502
158,72,119.3235
139,71,119.428498
50,108,119.5845
-1,71,119.704499
2,74,119.813998
167,71,119.990002
-5,111,120.189498
1,71,120.306476
163,71,120.427999
1,71,120.556
-1,71,120.663
12,108,120.846
-1,71,120.956032
2,74,121.083498
-1,71,121.198999
163,71,121.300908
-1,71,121.413006
2,108,121.658502
155,71,121.7785
163,71,121.903999
60,108,122.084998
163,71,122.201209
-26,72,122.349998
2,108,122.527272
1,71,122.6615
1,71,122.763
-5,71,122.860499
1,71,122.961001
1,71,123.069
1,71,123.176999
-1,71,123.29501
151,71,123.399503
163,71,123.551
18,108,123.743568
167,71,123.845
1,71,123.95
-1,71,124.062
159,71,124.165498
1,71,124.290501
163,71,124.403999
5,75,124.51956
155,71,124.630502
5,75,124.748
-14,72,124.864001
167,71,124.972999
167,71,125.0745
1,71,125.176998
4,74,125.295499
1,71,125.4065
167,71,125.5125
1,71,125.628999
0,108,125.813498
163,71,125.927499
-6,108,126.102999
-1,71,126.2315
158,72,126.348501
59,109,126.518499
-16,72,126.6415
-1,73,126.757999
1,71,126.865716
-33,75,126.976002
1,71,127.103498
-1,71,127.222541
12,108,127.393113
1,71,127.523499
-1,73,127.632534
1,71,127.740999
162,72,127.854499
-6,110,128.046499
154,72,128.153155
49,109,128.326844
166,72,128.460999
20,180,128.941001
-9,71,129.049001
162,72,129.2035
1,71,129.371303
1,71,129.523
156,72,129.638499
1,71,129.739503
158,72,129.846999
156,72,129.955498
7,71,130.115
1,71,130.24085
1,71,130.378088
167,71,130.4975
81,253,130.909501
-7,71,131.031501
158,72,131.1515
-1,71,131.308498
-12,108,131.499999
2,110,131.6725
162,72,131.790498
-4,72,131.900001
156,72,132.036499
166,72,132.143
162,72,132.255001
158,72,132.364999
8,144,132.603501
7,71,132.706
162,72,132.8155
1,71,132.916
-1,71,133.065055
167,71,133.179501
2,74,133.293501
1,71,133.408
-1,71,133.522499
162,72,133.6675
163,71,133.826998
162,72,133.9365
1,71,134.047
-3,71,134.1485
-15,71,134.252
-1,71,134.436
56,108,134.625498
1,71,134.730002
60,108,134.953999
61,109,135.12
166,72,135.233999
-1,71,135.3655
1,71,135.534001
162,72,135.7105
162,72,135.820498
162,72,135.99212
166,72,136.124509
61,145,136.411501
64,108,136.589
1,71,136.726592
1,71,136.852501
1,71,136.953
162,72,137.061501
162,72,137.202001
12,108,137.386498
-1,71,137.515001
162,72,137.6535
1,71,137.767999
1,71,137.88058
1,71,137.992123
166,72,138.105499
162,72,138.219
162,72,138.343203
162,72,138.482504
166,72,138.618499
156,72,138.723498
167,71,138.824498
166,72,138.934
167,71,139.044489
59,109,139.214998
-22,72,139.328999
167,71,139.449499
-1,71,139.561501
-1,71,139.687502
-25,71,139.819999
162,72,139.930999
-2,144,140.175001
167,71,140.293053
-1,71,140.4145
1,71,140.531
1,71,140.657998
167,71,140.767499
1,71,140.871001
167,71,140.977001
4,74,141.090001
-1,71,141.2075
167,71,141.353
167,71,141.471006
60,108,141.652
1,71,141.771063
-1,71,141.881499
-1,71,142.008003
167,71,142.141502
-46,72,142.261499
-3,71,142.399502
-1,71,142.507065
167,71,142.620498
167,71,142.730501
167,71,142.849001
1,71,142.9525
-3,71,143.057
167,71,143.165498
-1,71,143.277071
1,71,143.389498
1,71,143.492704
-1,71,143.6005
10,108,143.790999
1,71,143.907507
-1,71,144.023499
8,144,144.257
1,71,144.366998
8,108,144.535499
167,71,144.642
10,108,144.799501
58,144,145.014998
161,71,145.132499
1,71,145.242
162,72,145.369498
-3,73,145.482999
0,72,145.592502
2,108,145.770499
3,75,145.888501
-1,73,145.988999
1,71,146.103002
160,72,146.234498
-1,75,146.353
-1,71,146.472999
1,71,146.572999
-1,71,146.684999
-1,71,146.799499
-1,73,146.922499
-14,72,147.038501
10,108,147.2065
167,71,147.328
12,108,147.511998
