#{"t_start": 1653991676.9744394, "env_id": "gym_spaceship/Spaceship-v0"}
r,l,t
-15,71,4.391907
-37,71,4.398764
-17,71,4.405209
-17,71,4.412426
-20,108,4.422258
-25,71,4.429104
-33,71,4.435714
-23,71,4.442635
-6,108,4.452835
-31,71,4.460333
-45,71,4.466596
-28,252,4.491307
-37,71,4.497363
-17,71,4.503929
-23,73,4.510984
-34,108,4.521082
-39,71,4.527629
41,71,4.533688
-25,71,4.541766
-27,71,4.54831
-23,71,4.554875
-15,71,4.561427
-21,71,4.567982
-35,71,4.574543
-13,71,4.581096
-38,108,4.590758
7,71,4.59791
-31,71,4.60445
-27,71,4.610994
2,108,4.621048
-25,71,4.627594
-31,71,4.634127
-19,71,4.640671
-16,72,4.647709
-21,71,4.655252
-21,71,4.661939
-22,108,4.671894
-34,108,4.682002
-40,108,4.692074
-21,109,4.702142
-35,71,4.708189
-23,73,4.715241
-56,144,4.72883
-21,71,4.734873
-11,73,4.741932
-34,72,4.748473
-21,71,4.755019
-27,71,4.762568
-29,71,4.769141
-21,71,4.775368
-9,71,4.782976
-17,71,4.789523
-19,71,4.796567
-46,180,4.814184
-23,71,4.820744
-23,71,4.828298
-17,71,4.834881
-27,71,4.841592
-31,71,4.848153
-29,71,4.857152
-15,71,4.863696
-28,108,4.875319
-37,71,4.881875
-37,71,4.889945
-27,71,4.896491
-33,71,4.903025
-21,71,4.910575
-22,110,4.993606
-19,71,5.117632
-14,180,5.363305
-18,108,5.494908
-6,108,5.632537
-35,71,5.732567
-31,71,5.836484
2,144,6.059133
-21,71,6.149599
-7,71,6.245577
-33,71,6.350631
-39,71,6.452367
-43,71,6.547341
-16,144,6.733269
9,73,6.817632
-32,144,6.984914
-2,108,7.104915
-25,71,7.184758
-23,71,7.275712
-41,71,7.362586
-13,71,7.441885
-25,71,7.536222
-12,72,7.614064
-37,71,7.708505
-27,181,7.957785
-14,108,8.090917
-25,71,8.171719
-30,74,8.25962
-7,75,8.342491
-12,110,8.470137
-15,71,8.56989
-31,71,8.724253
-42,108,8.872544
-10,72,8.969024
-2,74,9.065442
2,144,9.253538
-27,109,9.383108
17,71,9.465411
-10,144,9.630133
-25,71,9.714939
-7,71,9.795254
-19,71,9.876581
-24,108,10.007104
-2,108,10.135117
-33,71,10.219463
-42,144,10.390753
-35,71,10.478029
-4,74,10.568002
-32,72,10.652854
-23,71,10.742248
-21,71,10.832172
-10,72,10.922566
-8,108,11.062738
-20,144,11.237639
-29,71,11.314005
-15,71,11.397344
-14,108,11.5329
-24,108,11.663045
-16,72,11.747873
-13,71,11.832212
-31,71,11.916602
-21,71,11.997983
12,108,12.123524
-32,72,12.209895
-35,71,12.290217
-3,73,12.375571
8,108,12.500556
-6,108,12.636744
-33,71,12.721084
-21,71,12.809067
-22,108,12.938352
-17,71,13.021687
-36,180,13.23403
7,71,13.316371
-24,108,13.443882
-39,71,13.532287
-2,108,13.664375
-10,108,13.796944
8,108,13.931513
-30,108,14.075905
-15,71,14.162305
-15,73,14.257321
8,144,14.444288
-17,71,14.529681
-13,71,14.619053
-31,71,14.709964
-12,108,14.835428
-2,108,14.968977
-20,108,15.100148
-20,108,15.234284
-27,109,15.37543
-15,71,15.454257
-26,108,15.588953
8,110,15.72781
-24,108,15.857836
-30,108,15.98236
-5,71,16.069253
-15,71,16.153083
-15,71,16.239963
-15,71,16.328895
-6,108,16.456526
-2,108,16.585093
-31,71,16.671989
-8,110,16.800681
-28,108,16.924173
-17,71,17.004995
-6,144,17.205563
-21,109,17.338095
-17,71,17.439561
-16,110,17.581722
-13,71,17.670119
-25,71,17.75506
13,71,17.853476
-19,71,17.942873
-25,71,18.040346
-14,108,18.189635
-18,144,18.379641
-23,71,18.477081
-13,71,18.567872
0,108,18.758632
-23,71,18.872239
-22,108,19.015986
-33,71,19.114447
17,71,19.207951
-11,71,19.298901
-31,71,19.382849
-31,71,19.466201
15,109,19.598226
0,144,19.776039
-21,71,19.868463
-16,108,20.017695
-31,71,20.1197
-4,108,20.260144
-13,71,20.363672
-10,180,20.586694
-2,144,20.769106
-19,71,20.852358
-15,71,20.941804
-20,108,21.074391
-28,108,21.202915
-14,74,21.29985
-37,71,21.388749
-39,71,21.475597
-6,108,21.603112
-27,71,21.688909
-19,71,21.781377
-14,108,21.911113
-18,72,21.996481
-8,108,22.126588
-12,72,22.214474
-11,71,22.297829
-6,108,22.42837
-11,71,22.517306
-7,71,22.603341
2,108,22.739914
6,74,22.830788
-8,216,23.094085
19,73,23.186524
-21,71,23.270941
-6,72,23.357289
-1,71,23.443155
20,108,23.579282
4,108,23.713113
-16,144,23.886419
-7,71,23.972772
-36,108,24.106487
-4,108,24.243603
-29,71,24.335007
-22,72,24.424412
-25,71,24.507061
4,144,24.736516
-22,108,24.867591
-21,71,24.949921
-19,71,25.040324
-24,72,25.140887
6,108,25.272443
18,144,25.447148
-11,71,25.535007
-3,109,25.666047
-4,108,25.796394
-11,71,25.882245
-21,71,25.965078
-23,73,26.055439
-23,71,26.137285
-12,108,26.271362
16,144,26.444558
-12,108,26.572083
-17,71,26.658946
-21,71,26.748328
8,108,26.904189
-26,108,27.034216
-4,72,27.122052
-25,71,27.213542
-2,108,27.344084
-20,108,27.477193
-3,109,27.610858
-15,71,27.695704
-23,71,27.779581
-24,72,27.865431
-5,109,27.998962
-22,144,28.168226
-11,71,28.255136
-27,71,28.340544
-16,108,28.469167
-31,71,28.556621
-11,71,28.644551
-20,180,28.865804
0,108,28.994312
-20,108,29.131407
-10,108,29.301848
-2,108,29.457771
2,108,29.604013
10,108,29.748686
4,144,29.969353
-25,71,30.069402
